File Generated: 06/01/2018 | 14:42:31
File ID: E2_c4_al20_OLS_10deg_N_v8
Data Release: 8
This data was taken during the November 2016 Experiment
Projectile: C400 [AMeV]
Target Material: Aluminum
Upstream Target Thickness: 20 [g/cm^2]
Downstream Target Thickness: 60 [g/cm^2]
Detector Type: Organic Liquid Scintillator
Detector Angle: 10 [degrees]
Secondary Particle: Neutron
Additional Notes: Background subtracted. Midpoints are yield-weighted average energies.
KE_left(MeV) KE_mid(MeV) KE_right(MeV) Norm_Cts(#/SP*ster*MeV) Y_stat(#/SP*ster*MeV) Y_syst_tot(#/SP*ster*MeV) X_tot(MeV) Y_syst_solid_angle(#/SP*ster*MeV) Y_syst_efficiency(#/SP*ster*MeV) Y_syst_graphical(#/SP*ster*MeV)
3.8756679972e+00 4.5715358202e+00 5.1357526194e+00 1.4311954647e-02 1.4228637448e-03 2.9173001915e-03 1.4022052352e-01 8.5748407704e-04 1.4583881785e-03 6.0142793591e-04
5.1357526194e+00 5.9194831368e+00 6.6010264823e+00 8.7186347419e-03 8.4143991361e-04 1.5720289213e-03 1.8318023380e-01 5.2216681876e-04 8.8842888019e-04 1.6143322231e-04
6.6010264823e+00 7.2848610023e+00 8.1300528806e+00 6.1782421257e-03 6.1449136291e-04 1.0015644158e-03 2.2744100143e-01 3.6986338591e-04 6.2956287261e-04 2.1381572773e-06
8.1300528806e+00 9.0642346842e+00 9.8990158581e+00 4.9990657090e-03 4.7248792665e-04 8.3781053473e-04 2.8622655721e-01 2.9912781985e-04 5.0940479575e-04 2.9277919129e-05
9.8990158581e+00 1.0898102887e+01 1.2130246526e+01 3.7344812232e-03 3.6823053972e-04 6.8193908064e-04 3.4809429574e-01 2.2338054963e-04 3.8054363664e-04 7.8014894371e-05
1.2130246526e+01 1.2918706328e+01 1.3950677058e+01 4.2948448091e-03 4.1421448171e-04 7.4284243968e-04 4.1770136856e-01 2.5689063806e-04 4.3764468605e-04 4.8307115572e-05
1.3950677058e+01 1.5452459418e+01 1.7482862014e+01 2.9274901360e-03 2.8429767037e-04 5.2955086805e-04 5.0716557200e-01 1.7510255727e-04 2.9831124486e-04 5.6137065926e-05
1.7482862014e+01 1.9746958900e+01 2.2817342915e+01 2.1652734125e-03 2.1160537769e-04 3.6312343364e-04 6.6428637027e-01 1.2951021203e-04 2.2064136073e-04 1.2971860878e-05
2.2817342915e+01 2.6119463228e+01 2.9536953697e+01 2.3648203709e-03 2.3325407916e-04 4.2645964375e-04 9.1189437942e-01 1.4183012218e-04 2.4097519579e-04 4.3654325770e-05
2.9536953697e+01 3.4011231789e+01 3.9233694616e+01 2.8949703870e-03 2.8090474488e-04 4.7588161648e-04 1.2369499580e+00 1.7362193628e-04 2.9499748244e-04 7.2621977655e-06
3.9233694616e+01 4.2823946919e+01 4.7145961455e+01 3.3707889674e-03 3.3322296070e-04 5.5194743588e-04 1.6258591885e+00 2.0215251787e-04 3.4348339578e-04 6.3115222322e-06
4.7145961455e+01 5.6960999830e+01 6.7142896315e+01 3.0199007692e-03 2.8999829801e-04 5.0493040903e-04 2.3054109198e+00 1.8110581262e-04 3.0772788838e-04 1.6096708030e-05
6.7142896315e+01 7.3446082279e+01 8.0770475070e+01 3.2635908485e-03 3.1478264147e-04 5.3041705816e-04 3.1820940241e+00 1.9574339512e-04 3.3255990747e-04 2.1137555782e-06
8.0770475070e+01 8.8291245747e+01 9.9273382742e+01 2.5303980154e-03 2.4286489320e-04 4.2105463195e-04 4.0475145803e+00 1.5178882972e-04 2.5784755777e-04 1.1418244459e-05
9.9273382742e+01 1.0789200166e+02 1.1876597603e+02 2.2715180782e-03 2.2624125464e-04 4.1334446124e-04 5.3179085327e+00 1.3725599418e-04 2.3146769217e-04 4.4620774896e-05
1.1876597603e+02 1.2756562062e+02 1.4082614630e+02 2.7778495279e-03 2.0680126127e-04 4.5470104740e-04 6.6993010718e+00 1.6788070750e-04 2.8306286689e-04 3.7574730034e-06
1.4082614630e+02 1.5270840516e+02 1.7024852666e+02 2.2311286825e-03 2.1880521919e-04 4.0277315281e-04 8.6418384407e+00 1.3486294580e-04 2.2735201274e-04 4.0558194262e-05
1.7024852666e+02 1.8701768036e+02 2.1111571217e+02 3.1695079935e-03 1.7820565797e-04 5.1966324237e-04 1.1613402696e+01 1.9157220710e-04 3.2297286454e-04 5.1181707343e-06
2.1111571217e+02 2.3549724624e+02 2.7203501525e+02 3.4545291219e-03 1.2153832393e-04 5.9385903082e-04 1.6422504719e+01 2.0841923393e-04 3.5201651752e-04 3.3423279367e-05
2.7203501525e+02 3.1036260768e+02 3.7340931454e+02 3.3187807678e-03 7.5072532586e-05 5.5772980505e-04 2.4918139812e+01 1.8948954990e-04 3.3818376024e-04 3.0056494908e-05
3.7340931454e+02 4.3305482409e+02 5.5940936979e+02 1.4461393180e-03 3.3363236902e-05 2.4839495332e-04 4.2600902838e+01 7.7857383683e-05 1.4736159651e-04 2.3175973132e-05
5.5940936979e+02 6.5553580998e+02 9.0994531337e+02 2.0192863452e-04 8.7721421829e-06 5.8082201309e-05 8.8840799131e+01 1.0906569736e-05 2.0576527857e-05 2.6599103716e-05
